2424,Advanced Business (Honours)
2402,Advanced Finance and Economics (Honours)
2414,Advanced Humanities (Honours)
2341,Advanced Science (Honours)
2007,Agribusiness
2007,Agribusiness
2352,Agricultural Science (Honours)
2293,Architectural Design
2293,Architectural Design
2000,Arts
2052,Arts (Honours)
2320,Arts
2389,Agribusiness/Equine Science
2389,Agribusiness/Equine Science
2390,Agribusiness/Sustainable Agriculture
2391,Agribusiness/Veterinary Technology
2391,Agribusiness/Veterinary Technology
2392,Agribusiness/Wildlife Science
2392,Agribusiness/Wildlife Science
2066,Arts/Education (Secondary)
2206,Arts/International Hotel and Tourism Management
2361,Arts/Laws (Honours)
2067,Arts/Social Science
1604,Business
1604,Business
2415,Biomedical Science
2415,Biomedical Science
2423,Biomedical Science (Honours)
2423,Biomedical Science (Honours)
2375,Biotechnology (Honours)
2059,Business Management
2129,Business Management (Honours)
2416,Biomedical Science/Science
2273,Business Management /Education (Secondary)
2074,Business Management/Arts
2076,Business Management/Commerce
2404,Business Management/Communication
2077,Business Management/Economics
2222,Business Management/Information Technology
2340,Business Management/International Hotel and Tourism Management
2274,Business Management/Journalism
2362,Business Management/Laws (Honours)
2081,Business Management/Science
2413,Clinical Exercise Physiology (Honours)
2413,Clinical Exercise Physiology (Honours)
2024,Commerce
2131,Commerce (Honours)
2131,Commerce (Honours)
2236,Communication
2237,Communication (Honours)
2237,Communication (Honours)
2425,Computer Science
2408,Criminology and Criminal Justice (Honours)
2408,Criminology and Criminal Justice (Honours)
2223,Commerce /Information Technology
2083,Commerce/Arts
2084,Commerce/Economics
2363,Commerce/Laws (Honours)
2087,Commerce/Science
2283,Communication/ Journalism
2282,Communication/Arts
2426,Computer Science/Arts
2427,Computer Science/Science
2367,Dental Science (Honours)
2367,Dental Science (Honours)
2029,Economics
2132,Economics (Honours)
2306,Education (Primary)
2306,Education (Primary)
2380,Education (Primary) (Honours)
2380,Education (Primary) (Honours)
2312,Education (Secondary)
2312,Education (Secondary)
2342,Engineering (Honours)
2350,Engineering (Honours) and Master of Engineering
2376,Environmental Management (Honours)
2353,Environmental Science (Honours)
2385,Equine Science
2385,Equine Science
2417,Equine Science (Honours)
2417,Equine Science (Honours)
2325,Exercise and Nutrition Sciences
2325,Exercise and Nutrition Sciences
2326,Exercise and Nutrition Sciences (Honours)
2326,Exercise and Nutrition Sciences (Honours)
2371,Exercise and Sport Sciences (Honours)
2371,Exercise and Sport Sciences (Honours)
2095,Economics/Arts
2364,Economics/Laws (Honours)
2364,Economics/Laws (Honours)
2098,Economics/Science
2343,Engineering (Honours)/Arts
2348,Engineering (Honours)/Biotechnology (Honours)
2344,Engineering (Honours)/Business Management
2345,Engineering (Honours)/Commerce
2428,Engineering (Honours)/Computer Science
2346,Engineering (Honours)/Economics
2349,Engineering (Honours)/Information Technology
2401,Engineering (Honours)/Mathematics
2347,Engineering (Honours)/Science
2252,Health Sciences
2253,Health Sciences (Honours)
2253,Health Sciences (Honours)
2372,"Health, Sport and Physical Education (Honours)"
2372,"Health, Sport and Physical Education (Honours)"
2264,Human Services (Honours)
2264,Human Services (Honours)
2230,Information Technology
2235,Information Technology (Honours)
2235,Information Technology (Honours)
2194,International Hotel and Tourism Management
2234,International Hotel and Tourism Management (Honours)
2234,International Hotel and Tourism Management (Honours)
2316,International Studies
2317,International Studies (Honours)
2231,Information Technology/Arts
2228,Information Technology/Science
2040,Journalism
2040,Journalism
2041,Journalism (Honours)
2041,Journalism (Honours)
2102,Journalism/Arts
2365,Journalism/Laws (Honours)
2365,Journalism/Laws (Honours)
2359,Laws (Honours)
2359,Laws (Honours)
1602,Languages
2393,Mathematics
2421,Mathematics (Honours)
2421,Mathematics (Honours)
2261,Midwifery
2261,Midwifery
2266,Midwifery (Honours)
2266,Midwifery (Honours)
2355,Music (Honours)
1605,Music Performance
1605,Music Performance
2397,Mathematics/Arts
2410,Mathematics/Business Management
2396,Mathematics/Commerce
2429,Mathematics/Computer Science
2395,Mathematics/Economics
2398,Mathematics/Education (Secondary)
2403,Mathematics/Information Technology
2394,Mathematics/Science
2405,Music (Honours)/Arts
2357,Music (Honours)/Education (Secondary)
2406,Music (Honours)/Science
2241,Nursing
2241,Nursing
2243,Nursing (Honours)
2243,Nursing (Honours)
2290,Nursing/ Midwifery
2290,Nursing/ Midwifery
2331,Occupational Health and Safety Science (Honours)
2331,Occupational Health and Safety Science (Honours)
2368,Occupational Therapy (Honours)
2368,Occupational Therapy (Honours)
2018,Oral Health (Honours)
2018,Oral Health (Honours)
2373,Pharmacy (Honours)
2369,Physiotherapy (Honours)
2369,Physiotherapy (Honours)
2412,"Politics, Philosophy and Economics (Honours)"
2379,Psychological Science (Honours)
2379,Psychological Science (Honours)
2063,Regional and Town Planning
2063,Regional and Town Planning
2381,Regional and Town Planning (Honours)
2381,Regional and Town Planning (Honours)
2330,Science (Gatton)
2354,Science (Honours) - Gatton
2031,Science (Honours) - St Lucia
2030,Science (St Lucia)
2032,Social Science
2033,Social Science (Honours)
2382,Social Work (Honours)
2370,Speech Pathology (Honours)
2370,Speech Pathology (Honours)
2386,Sustainable Agriculture
2418,Sustainable Agriculture (Honours)
2321,Science
2109,Science/Arts
2110,Science/Education (Secondary)
2233,Science/Journalism
2366,Science/Laws (Honours)
2378,Veterinary Science (Honours)
2378,Veterinary Science (Honours)
2387,Veterinary Technology
2387,Veterinary Technology
2422,Veterinary Technology (Honours)
2422,Veterinary Technology (Honours)
2388,Wildlife Science
2388,Wildlife Science
2419,Wildlife Science (Honours)
2419,Wildlife Science (Honours)
